Scenario,L_cell,mean_delay_ms_mean,mean_delay_ms_std,p90_delay_ms_mean,p90_delay_ms_std,p99_delay_ms_mean,p99_delay_ms_std,std_delay_ms_mean,std_delay_ms_std,mean_uora_delay_ms_mean,mean_uora_delay_ms_std,mean_sched_delay_ms_mean,mean_sched_delay_ms_std,mean_overhead_delay_ms_mean,mean_overhead_delay_ms_std,mean_frag_delay_ms_mean,mean_frag_delay_ms_std,explicit_bsr_count_mean,explicit_bsr_count_std,implicit_bsr_count_mean,implicit_bsr_count_std,implicit_bsr_ratio_mean,implicit_bsr_ratio_std,buffer_empty_ratio_mean,buffer_empty_ratio_std,collision_rate_mean,collision_rate_std,success_rate_mean,success_rate_std,throughput_mbps_mean,throughput_mbps_std,channel_utilization_mean,channel_utilization_std,completion_rate_mean,completion_rate_std,jain_index_mean,jain_index_std
Low,0.15,92.3913403206622,4.5310620857675,214.998093668485,11.6797229483078,435.280659816868,47.6726246657165,92.9478732972666,7.2379835950523,85.4300245567617,2.32865821771323,0.280000000000057,2.76503985817133e-14,0.015999999999929,7.55601531621634e-15,0,0,1353.2,29.4233467391684,4963.6,102.337350626901,0.785729467970254,0.00588137648645389,0.386939357843811,0.0050699855387892,0.176466109898362,0.00310166745082517,0.267279356774831,0.00676507221995989,7.94288233522846,0.163762900823695,0.148854616477295,0.00306901988050404,0.990519947410398,0.00295752003066789,0.975308150114018,0.0078576208675752
Mid,0.3,105.118176710918,6.32475019291514,238.937888419306,15.9768097461262,490.131033025164,42.0318348508135,104.664384381207,7.10627955963537,98.8109243290327,5.39274869310129,0.280000000000063,1.98756624233526e-14,0.0159999999999282,7.79617810354929e-15,0,0,1377.9,28.7883078117952,9858.6,468.112569557556,0.877156517046674,0.00638237618137443,0.272252594365239,0.0259521303155854,0.222338602536208,0.011559524772396,0.283903805112813,0.00532330912842066,15.7759891590949,0.749085957699475,0.295651970747655,0.0140383425355973,0.989794638055226,0.00289522516172447,0.981368845926612,0.00813588691320746
High,0.5,104.0959479034,3.08954221318193,239.955019423112,9.01431315469253,468.725990732202,34.5792478920856,101.775209454243,4.99819856602805,98.1270070609531,3.61271864987894,0.280000000000069,1.94465087304557e-14,0.0159999999999313,7.84480404442401e-15,0,0,1363.7,26.3651706275955,16314.4,768.858201057473,0.922696801811944,0.00442615989944753,0.237270170057091,0.0242048029882416,0.216645076268294,0.00651107462896915,0.279021630975344,0.00553979400503351,26.1067289003649,1.23034697064125,0.489256538612535,0.023057476961043,0.989437317608607,0.00397503411309907,0.967164223930013,0.0113327630803872
