rho,alpha,mean_delay_ms_mean,mean_delay_ms_std,p90_delay_ms_mean,p90_delay_ms_std,p99_delay_ms_mean,p99_delay_ms_std,std_delay_ms_mean,std_delay_ms_std,collision_rate_mean,collision_rate_std,success_rate_mean,success_rate_std,implicit_bsr_ratio_mean,implicit_bsr_ratio_std,buffer_empty_ratio_mean,buffer_empty_ratio_std,throughput_mbps_mean,throughput_mbps_std,channel_utilization_mean,channel_utilization_std,completion_rate_mean,completion_rate_std,jain_index_mean,jain_index_std,mean_uora_delay_ms_mean,mean_uora_delay_ms_std,mean_sched_delay_ms_mean,mean_sched_delay_ms_std,mean_frag_delay_ms_mean,mean_frag_delay_ms_std,mean_overhead_delay_ms_mean,mean_overhead_delay_ms_std
0.3,1.2,77.0969579918462,7.76251793930948,178.3928985991,17.5222603087309,378.303555533245,48.8067351417722,79.9934711620899,10.4130859217976,0.131198641737368,0.0149750429789761,0.254770685411804,0.00872300580573782,0.878798092139756,0.00849534589952893,0.121139881223285,0.00850786601640825,15.6687740095138,1.32257721787851,0.293642691332718,0.024785929870287,0.993605712520716,0.00292663498878915,0.87941109719196,0.0387628956691912,69.5547481078359,5.30748424104259,0.28000000000004,2.1393201955481e-14,0,0,0.0159999999999206,8.38433030532648e-15
0.3,1.5,101.12807917422,6.03374110005921,232.300454610179,17.4972112981451,466.839017777483,38.4014997226704,100.047635028759,6.27318268165903,0.20788519494842,0.0157987096734743,0.279339560237587,0.00876810461258044,0.879212095819096,0.00607254718543933,0.120725256913616,0.00604452572455357,16.035705857259,1.03362012687539,0.300519225211001,0.019370692032897,0.989753614335407,0.003238208659607,0.941010435665913,0.0240253885761185,94.2977609781071,5.83398663905144,0.280000000000056,2.3218965263815e-14,0,0,0.0159999999999284,1.00380889767252e-14
0.3,1.8,116.91218716916,7.21943398349849,267.551015192078,17.1339365498452,545.664828450036,59.6482658601337,116.375322241594,10.4786587829438,0.246114902976912,0.0121939154771297,0.283244852207511,0.00629148860306592,0.877330387995991,0.00566801344178571,0.122624853415975,0.00568510554599593,15.5212331618815,0.715170075134174,0.290877682943806,0.0134027375399958,0.987900259143276,0.00168788526687727,0.9665485278201,0.0194567277367993,108.03899746002,4.61516391000968,0.280000000000051,2.10717694561316e-14,0,0,0.0159999999999273,6.90158639404945e-15
0.3,2.1,125.59503421334,4.09032242921506,288.147732531834,13.1710269007511,576.520182326502,48.251092945573,123.981451288976,9.68986159770356,0.279467499067821,0.00750949429892256,0.288494003275591,0.0071068437907178,0.878587584205321,0.00245880078378176,0.121375905539891,0.00244064949907888,15.5766009853964,0.317375937887012,0.291915310820773,0.00594782492292,0.987380418817827,0.00271745290830448,0.993023529884005,0.00392257990987014,119.263229636813,2.75751659729686,0.280000000000052,1.43213869237492e-14,0,0,0.0159999999999241,5.16132623008496e-15
0.5,1.2,79.7905859275369,6.45307133504868,182.827884681248,14.4091975689158,379.183429042847,87.8596725095907,81.4442487574204,12.5477273013269,0.14658912198586,0.0136448053217305,0.256287892025118,0.0114323717947948,0.882527343558884,0.00571699355428424,0.117365564136154,0.00571904170134735,16.0883532963816,1.02317934331145,0.30150587137147,0.0191750251745024,0.991044379135421,0.00175812927541167,0.924183872725999,0.0556728320782246,75.6454342980303,4.84556294863106,0.280000000000037,2.75834011161427e-14,0,0,0.0159999999999173,7.70163585691549e-15
0.5,1.5,105.118176710918,6.32475019291514,238.937888419306,15.9768097461262,490.131033025164,42.0318348508135,104.664384381207,7.10627955963537,0.222338602536208,0.011559524772396,0.283903805112813,0.00532330912842066,0.877156517046674,0.00638237618137443,0.122763988824884,0.00639427486494133,15.7759891590949,0.749085957699475,0.295651970747655,0.0140383425355973,0.989794638055226,0.00289522516172447,0.981368845926612,0.00813588691320746,98.8109243290327,5.39274869310129,0.280000000000063,1.98756624233526e-14,0,0,0.0159999999999286,7.79068001898854e-15
0.5,1.8,121.797021746631,5.76752136251068,282.643689631151,16.4408769600115,536.13917093248,30.4423585999227,117.812888785626,6.52661963920049,0.262690781688742,0.00680023824085251,0.281675772515029,0.00582368386034076,0.880627700375245,0.00357472636419976,0.119308745845442,0.00353148187537841,15.7489453377826,0.462091471099847,0.295145152507171,0.00865988514055187,0.988214045144501,0.00400512415414078,0.989228788840506,0.00492779480514705,115.484698833172,3.28960442720358,0.280000000000049,2.3723764245119e-14,0,0,0.0159999999999283,8.87783433818355e-15
0.5,2.1,131.749928383388,5.98368852165501,302.418131559354,17.5314779405177,607.33594644129,50.0757926134335,131.279368341992,8.15512264736509,0.282017490725293,0.00584746792219306,0.286296141966712,0.00937010282492739,0.880611907117423,0.003184713359193,0.119334164150755,0.00316377776878976,15.7497454508392,0.214406148452705,0.29516014712967,0.00401810623037302,0.987395795743095,0.00234682005227279,0.99707730235805,0.00120209096351585,122.794372642322,4.12356417732871,0.280000000000047,1.77873567267935e-14,0,0,0.0159999999999215,4.75882721365467e-15
0.7,1.2,82.2053828082389,5.88405155422991,189.943069885336,14.1591818774032,406.405645528363,33.7257070696934,85.5408543650208,7.04217394880548,0.151464741700893,0.0143993209371023,0.260041930898094,0.00695140366087123,0.880075994609995,0.00498183756483712,0.119862126441606,0.00499869513043922,15.8339173443909,0.613104893282982,0.29673758141662,0.0114899717631743,0.992006647628988,0.0035193009003585,0.970092319203184,0.0204358418700424,76.8837572274509,6.04721441760899,0.280000000000053,2.75251048098461e-14,0,0,0.0159999999999316,5.95399680063139e-15
0.7,1.5,111.832633038365,5.24336593036489,256.725339445011,17.0899112637417,515.459869066706,40.0112311993831,111.249716685145,7.75820029662795,0.234473723591595,0.00622542572514503,0.28223462606151,0.0061592663121121,0.87974334089157,0.00272645191358789,0.120176936023134,0.0026915234645687,15.9257703232856,0.214038243614753,0.298458964079566,0.00401121146204559,0.987537503700638,0.00422323619411728,0.984611305813122,0.0114890571371074,104.756936113948,2.88044735243354,0.280000000000051,1.24347869930199e-14,0,0,0.0159999999999233,5.59695511553789e-15
0.7,1.8,125.047146941427,6.6070518523574,288.641032427914,14.7026200013313,588.79652409167,74.4553025039057,126.831677509214,12.316346006152,0.268977604525222,0.00756823540022832,0.289377685427002,0.00966697600525669,0.878918756172282,0.00382083831614095,0.12098213147926,0.0037805020398053,15.7710284581441,0.369199172863419,0.295559004088158,0.00691902497869976,0.986931722025256,0.00297080861774027,0.994461749372455,0.00232202799548331,115.927210393116,4.47789091022008,0.280000000000061,2.25873624556028e-14,0,0,0.0159999999999324,9.83562245774404e-15
0.7,2.1,131.461115229137,4.99859219143805,303.000882963151,14.7382109688192,601.411044989643,52.7862424922142,130.261311653798,9.83408674931887,0.285685143188952,0.00504598704176747,0.287043527185949,0.00825897681415056,0.880407534606869,0.00260033986968884,0.119565380894788,0.00258311767633169,15.7164607476857,0.234294817231142,0.29453637083369,0.00439083240688047,0.985476905455553,0.002636495716802,0.997363019296202,0.00101950388281806,123.191544596368,2.993972529233,0.280000000000053,2.25600912473011e-14,0,0,0.0159999999999247,8.25810466151324e-15
0.9,1.2,83.9846345235423,4.48776578995461,194.542833309302,10.2214580464015,395.205862875268,27.9205437283807,85.3457400785683,6.26410831526514,0.160301146944218,0.00867808148440932,0.263281740942576,0.00912506860495825,0.881280784112788,0.00449498228935142,0.118675989715001,0.00449105474226662,16.0648299725183,0.356239110773459,0.301065029469984,0.00667614525437518,0.991019209290632,0.00184658258046645,0.980056989978114,0.0109389896962348,79.3255979919699,4.85571353695021,0.280000000000059,2.13014594895642e-14,0,0,0.0159999999999274,8.48337468875946e-15
0.9,1.5,114.171711155263,5.651853392819,265.585029933033,13.1509492887736,525.716267791763,42.7216200252036,114.569157025139,8.61029582170465,0.241715106529512,0.00676459738244206,0.283265173175766,0.00860330612875715,0.878520483669124,0.00323252896623934,0.121426082017407,0.00324311551495736,15.7137403632933,0.21171696360333,0.294485389117192,0.00396770921295596,0.988077618311604,0.00243830969301557,0.992128660845062,0.002831365148168,106.823406662074,3.76007660073771,0.280000000000059,1.92182281510001e-14,0,0,0.0159999999999277,7.79229719708338e-15
0.9,1.8,124.836425988678,3.04529227078155,289.267420358752,9.52368640181451,554.864229601767,29.5727798523601,121.51986113775,4.89509944426673,0.274507930194947,0.00591639859584753,0.28420689771345,0.00551377714099192,0.88074104751961,0.0019777842806539,0.119214797736258,0.00201768117486212,15.7537460161221,0.306435803143344,0.295235120242168,0.00574279990898322,0.986176849984596,0.00202192385220595,0.996489412091827,0.000980024412370974,119.400805292979,2.10181324593331,0.280000000000042,2.00844957222644e-14,0,0,0.0159999999999228,7.31396271775679e-15
0.9,2.1,129.390419767849,2.42247008178501,297.850998376386,9.17576551796136,601.426405498898,30.0600046476922,129.453049887934,4.86202767214261,0.284849967125677,0.00462898903791077,0.293025703526002,0.00359308541332454,0.879174201310249,0.00200245958086345,0.120763366435041,0.0019853719811804,15.8099139526936,0.265366193218947,0.296287742741635,0.00497312955807621,0.988392845568425,0.0026610986105989,0.997832660842591,0.000388280072590536,121.094283865537,1.32255590775583,0.28000000000006,2.34617355133064e-14,0,0,0.0159999999999237,7.22499666026271e-15
