L_cell,rho,mean_delay_ms_mean,mean_delay_ms_std,p90_delay_ms_mean,p90_delay_ms_std,p99_delay_ms_mean,p99_delay_ms_std,std_delay_ms_mean,std_delay_ms_std,collision_rate_mean,collision_rate_std,success_rate_mean,success_rate_std,implicit_bsr_ratio_mean,implicit_bsr_ratio_std,buffer_empty_ratio_mean,buffer_empty_ratio_std,throughput_mbps_mean,throughput_mbps_std,channel_utilization_mean,channel_utilization_std,completion_rate_mean,completion_rate_std,jain_index_mean,jain_index_std,mean_uora_delay_ms_mean,mean_uora_delay_ms_std,mean_sched_delay_ms_mean,mean_sched_delay_ms_std,mean_frag_delay_ms_mean,mean_frag_delay_ms_std,mean_overhead_delay_ms_mean,mean_overhead_delay_ms_std,explicit_bsr_count_mean,explicit_bsr_count_std,implicit_bsr_count_mean,implicit_bsr_count_std,total_bsr_count_mean,total_bsr_count_std
0.3,0.3,79.7905859275369,6.45307133504868,182.827884681248,14.4091975689158,379.183429042847,87.8596725095907,81.4442487574204,12.5477273013269,0.14658912198586,0.0136448053217305,0.256287892025118,0.0114323717947948,0.882527343558884,0.00571699355428424,0.441220233679299,0.0297847169844509,16.0883532963816,1.02317934331145,0.30150587137147,0.0191750251745024,0.991044379135421,0.00175812927541167,0.924183872725999,0.0556728320782246,75.6454342980303,4.84556294863106,0.280000000000037,2.75834011161427e-14,0,0,0.0159999999999173,7.70163585691549e-15,1335.1,46.186698421852,10053.8,639.3967295645,11388.9,661.753302472555
0.3,0.5,105.118176710918,6.32475019291514,238.937888419306,15.9768097461262,490.131033025164,42.0318348508135,104.664384381207,7.10627955963537,0.222338602536208,0.011559524772396,0.283903805112813,0.00532330912842066,0.877156517046674,0.00638237618137443,0.272252594365239,0.0259521303155854,15.7759891590949,0.749085957699475,0.295651970747655,0.0140383425355973,0.989794638055226,0.00289522516172447,0.981368845926612,0.00813588691320746,98.8109243290327,5.39274869310129,0.280000000000063,1.98756624233526e-14,0,0,0.0159999999999286,7.79068001898854e-15,1377.9,28.7883078117952,9858.6,468.112569557556,11236.5,456.29845252617
0.3,0.7,121.797021746631,5.76752136251068,282.643689631151,16.4408769600115,536.13917093248,30.4423585999227,117.812888785626,6.52661963920049,0.262690781688742,0.00680023824085251,0.281675772515029,0.00582368386034076,0.880627700375245,0.00357472636419976,0.184690091133185,0.014295381137965,15.7489453377826,0.462091471099847,0.295145152507171,0.00865988514055187,0.988214045144501,0.00400512415414078,0.989228788840506,0.00492779480514705,115.484698833172,3.28960442720358,0.280000000000049,2.3723764245119e-14,0,0,0.0159999999999283,8.87783433818355e-15,1333.2,22.3795541609846,9841.7,288.766360767855,11174.9,290.239919913011
0.3,0.9,131.749928383388,5.98368852165501,302.418131559354,17.5314779405177,607.33594644129,50.0757926134335,131.279368341992,8.15512264736509,0.282017490725293,0.00584746792219306,0.286296141966712,0.00937010282492739,0.880611907117423,0.003184713359193,0.135120472240209,0.0067451809898803,15.7497454508392,0.214406148452705,0.29516014712967,0.00401810623037302,0.987395795743095,0.00234682005227279,0.99707730235805,0.00120209096351585,122.794372642322,4.12356417732871,0.280000000000047,1.77873567267935e-14,0,0,0.0159999999999215,4.75882721365467e-15,1334.3,37.8154877148386,9842.2,133.984907939497,11176.5,142.803867050036
0.4,0.3,81.0862050897208,1.64971840983825,188.027077348082,5.47768105534884,380.076050366973,10.0598049967336,82.3036826475145,2.4402930227782,0.147440356951951,0.008627206110304,0.261360974254,0.00824992074479548,0.909578106163478,0.00468446741745021,0.420548705838397,0.0276196039755295,21.8870926626012,1.37680613908682,0.410177898474535,0.0258022140008775,0.993435171956655,0.00332876271685454,0.938982775757637,0.0405339904517142,75.3400615581502,2.17140403789621,0.280000000000059,1.84460529103693e-14,0,0,0.0159999999999253,5.56214405562844e-15,1355.9,28.7690033813401,13677.5,860.382247092018,15033.4,872.537067025426
0.4,0.5,107.953474087713,7.15980212283926,248.505039678656,16.9854571936077,504.966168686526,42.4067610234356,107.868258397404,7.97824828882972,0.225929427627344,0.0113110340336353,0.284220620917334,0.00938122296777797,0.90543561819933,0.00496697208212155,0.248424710843746,0.0305876307143056,21.1100228620558,0.824082250713119,0.395615121102995,0.0154438202907256,0.989587404562298,0.00337698609297044,0.969401443902215,0.0239743527235493,100.254420804983,5.92508233020587,0.280000000000055,2.21295946843908e-14,0,0,0.0159999999999262,6.84551044172815e-15,1375.7,40.3706438998549,13191.9,514.978629545818,14567.6,500.183122021881
0.4,0.7,119.690047241752,4.69140173562784,274.229666391374,11.93876910961,548.784114450575,53.2562116988726,117.685056242133,8.88610787769472,0.264497486326741,0.00739487232655188,0.29028431876922,0.00575503966494821,0.904096255761063,0.00304414627285912,0.167972486848203,0.0156182090986892,20.5997107545725,0.483322448258327,0.386051550872797,0.00905776702133297,0.987936507963666,0.0032599129942007,0.984654118763916,0.0066398468473023,113.439093745844,3.59608030146889,0.280000000000052,1.41524770116656e-14,0,0,0.0159999999999274,3.22965597077783e-15,1364.8,26.0119630597581,12873,302.033846521287,14237.8,293.638780363448
0.4,0.9,133.267402233501,3.74003410622039,304.987805146693,10.7969082358324,608.913936175522,30.6371609967274,130.983143517302,5.04361364982282,0.291196108754041,0.00618630328290049,0.287390146300142,0.00537472253675624,0.907509101958274,0.00258473193025454,0.104957374759631,0.00921272049975679,20.9019934673464,0.331669955147912,0.391716519253118,0.00621570380711979,0.985820323528367,0.00304371621780785,0.99695139315412,0.00218312893070099,125.350052193041,3.20984263873416,0.280000000000061,2.01799387072965e-14,0,0,0.0159999999999295,7.92450114350392e-15,1330.8,22.6705878961168,13061.9,207.264431209131,14392.7,191.722049969336
0.5,0.3,73.4213949943408,2.54178335931201,170.732533489158,7.17823951353185,332.743095365177,24.231605942443,73.0549666951282,4.34211899542329,0.127340375239904,0.00643990066871571,0.24748959904759,0.00571700101717804,0.926176948865711,0.00469269107636525,0.446214149824144,0.025128491400846,26.5048651573164,1.60139843610596,0.496717862768299,0.0300112150694521,0.993122616679039,0.0037064377615576,0.923998143247965,0.0392008254971119,69.3600217619797,2.53874640015826,0.280000000000051,1.72331903158587e-14,0,0,0.0159999999999246,5.35749005627861e-15,1315.8,22.547727158186,16563.2,1000.73259831652,17879,988.553601087074
0.5,0.5,104.0959479034,3.08954221318193,239.955019423112,9.01431315469253,468.725990732202,34.5792478920856,101.775209454243,4.99819856602805,0.216645076268294,0.00651107462896915,0.279021630975344,0.00553979400503351,0.922696801811944,0.00442615989944753,0.237270170057091,0.0242048029882416,26.1067289003649,1.23034697064125,0.489256538612535,0.023057476961043,0.989437317608607,0.00397503411309907,0.967164223930013,0.0113327630803872,98.1270070609531,3.61271864987894,0.280000000000069,1.94465087304557e-14,0,0,0.0159999999999318,8.09854960036682e-15,1363.7,26.3651706275955,16314.4,768.858201057473,17678.1,752.750135613848
