mu_on,L_cell,mean_delay_ms_mean,mean_delay_ms_std,p90_delay_ms_mean,p90_delay_ms_std,p99_delay_ms_mean,p99_delay_ms_std,std_delay_ms_mean,std_delay_ms_std,collision_rate_mean,collision_rate_std,success_rate_mean,success_rate_std,implicit_bsr_ratio_mean,implicit_bsr_ratio_std,buffer_empty_ratio_mean,buffer_empty_ratio_std,throughput_mbps_mean,throughput_mbps_std,channel_utilization_mean,channel_utilization_std,completion_rate_mean,completion_rate_std,jain_index_mean,jain_index_std,mean_uora_delay_ms_mean,mean_uora_delay_ms_std,mean_sched_delay_ms_mean,mean_sched_delay_ms_std,mean_frag_delay_ms_mean,mean_frag_delay_ms_std,mean_overhead_delay_ms_mean,mean_overhead_delay_ms_std,explicit_bsr_count_mean,explicit_bsr_count_std,implicit_bsr_count_mean,implicit_bsr_count_std,total_bsr_count_mean,total_bsr_count_std
0.01,0.15,96.2070645741606,6.40615121862287,221.368583845585,14.5804834884804,444.937843811366,38.6542425780745,95.1508834667657,7.4052514498813,0.195313179476946,0.0147569779655686,0.277337105824743,0.00710150992551776,0.78074424927696,0.00842316667784593,0.348448480007441,0.0292221282650148,7.85182946939025,0.277742639372777,0.147148228436849,0.00520507195226343,0.991198739032066,0.00277331436004267,0.975485762166522,0.0160542897356514,90.0608049481609,5.75576209809418,0.280000000000055,1.90478489499278e-14,0,0,0.0159999999999272,6.45038942211999e-15,1376.7,34.406233285393,4906.7,173.564621331013,6283.4,166.308414967159
0.01,0.3,120.981688228519,7.33362524347769,277.719078090162,17.9122172614944,556.736823395807,56.3964554920037,119.319257450095,10.8296274549476,0.255542488106972,0.013611704726945,0.281701264253976,0.00647665278327039,0.881571451319715,0.00457562971195839,0.197209870130367,0.0239953290456359,15.9712167448991,0.510954979397684,0.299310658637539,0.00957561805467925,0.988484749457261,0.0038489043786283,0.979359990261148,0.0149968716020673,113.005883086598,5.20171699453827,0.280000000000048,1.93031908194718e-14,0,0,0.0159999999999204,3.13321347119995e-15,1339.6,30.3761602430444,9980.6,319.301738172532,11320.2,313.262687071268
0.01,0.5,119.488028009043,5.13757249550318,274.778430959985,12.1345192522479,550.604257230049,48.1166682552193,118.893499272149,8.5724148574796,0.253600262478671,0.00639424071534339,0.284307433779284,0.00791455274123265,0.923049061013284,0.0030788007012215,0.159374621882476,0.0134112741586553,25.960468233623,0.796223230673501,0.486515521619622,0.0149217247127718,0.988247282465728,0.00333883048963078,0.98223807346046,0.00659108337181771,111.800457763716,3.48463805272133,0.280000000000052,1.97977234762519e-14,0,0,0.0159999999999256,7.75984938074812e-15,1351.3,33.9380153940811,16223,497.569202333817,17574.3,492.11833491098
0.05,0.15,92.3913403206622,4.5310620857675,214.998093668485,11.6797229483078,435.280659816868,47.6726246657165,92.9478732972666,7.2379835950523,0.176466109898362,0.00310166745082517,0.267279356774831,0.00676507221995989,0.785729467970254,0.00588137648645389,0.386939357843811,0.0050699855387892,7.94288233522846,0.163762900823695,0.148854616477295,0.00306901988050404,0.990519947410398,0.00295752003066789,0.975308150114018,0.0078576208675752,85.4300245567617,2.32865821771323,0.280000000000057,2.76503985817133e-14,0,0,0.015999999999929,7.55601531621634e-15,1353.2,29.4233467391684,4963.6,102.337350626901,6316.8,96.2090316850647
0.05,0.3,105.118176710918,6.32475019291514,238.937888419306,15.9768097461262,490.131033025164,42.0318348508135,104.664384381207,7.10627955963537,0.222338602536208,0.011559524772396,0.283903805112813,0.00532330912842066,0.877156517046674,0.00638237618137443,0.272252594365239,0.0259521303155854,15.7759891590949,0.749085957699475,0.295651970747655,0.0140383425355973,0.989794638055226,0.00289522516172447,0.981368845926612,0.00813588691320746,98.8109243290327,5.39274869310129,0.280000000000063,1.98756624233526e-14,0,0,0.0159999999999286,7.79068001898854e-15,1377.9,28.7883078117952,9858.6,468.112569557556,11236.5,456.29845252617
0.05,0.5,104.0959479034,3.08954221318193,239.955019423112,9.01431315469253,468.725990732202,34.5792478920856,101.775209454243,4.99819856602805,0.216645076268294,0.00651107462896915,0.279021630975344,0.00553979400503351,0.922696801811944,0.00442615989944753,0.237270170057091,0.0242048029882416,26.1067289003649,1.23034697064125,0.489256538612535,0.023057476961043,0.989437317608607,0.00397503411309907,0.967164223930013,0.0113327630803872,98.1270070609531,3.61271864987894,0.280000000000069,1.94465087304557e-14,0,0,0.0159999999999318,8.09854960036682e-15,1363.7,26.3651706275955,16314.4,768.858201057473,17678.1,752.750135613848
0.1,0.15,84.9358715800781,6.50136732474245,197.24969349903,15.4870191418729,388.560946362954,34.0843950580219,84.3454258762309,6.63458083685805,0.155759038770003,0.0168123704068578,0.264065681820049,0.00561903505402386,0.784522087019235,0.0107324677216341,0.427817808560263,0.0286259791705414,7.9369614986098,0.398810286899675,0.148743656270798,0.0074739559014182,0.992009787014949,0.00401789258247664,0.966110940297246,0.020878570460971,77.9904820151125,6.56850495464073,0.280000000000056,2.59966952203893e-14,0,0,0.0159999999999263,1.08587681633633e-14,1359.7,32.7754989791663,4959.9,249.221209191977,6319.6,236.664413134811
0.1,0.3,98.5330030198158,5.79428226508007,227.844128951229,13.0446363790104,458.786838172961,45.1790622494269,99.0824165303174,7.23567199948541,0.196878722552141,0.0148318951467758,0.275407881453487,0.00645567555827845,0.879823151501963,0.007000936908959,0.32192786401283,0.0356285030632688,16.0659501307975,0.949189001628753,0.301086021941483,0.0177883995807487,0.990734296446761,0.00260212624971325,0.967429373171946,0.0154665094795229,91.9835868483027,5.52737988508286,0.280000000000054,1.70991867353817e-14,0,0,0.015999999999925,6.00118253433742e-15,1367.4,26.5463954447889,10039.8,593.159300319531,11407.2,589.879045982216
0.1,0.5,95.9606381923057,6.31624313823479,220.973460594151,15.6306926476088,447.308219549575,35.4187048722672,96.8196406563624,9.02755512169551,0.185749530722374,0.012471647393514,0.270116766888668,0.00929732009488069,0.923079815417229,0.00403444296344347,0.300298312802499,0.0374182540513801,26.1012881315802,1.42759263887922,0.489154575179538,0.0267539849864922,0.99169711990248,0.0030962069750733,0.962647969771948,0.0209693053019088,88.8088247012036,4.42996710624446,0.280000000000055,1.91251916964398e-14,0,0,0.0159999999999261,8.19764186300082e-15,1356,31.8956632370818,16311,892.11932435571,17667,893.310944993088
0.3,0.15,71.8974738749116,4.22373441240623,167.46550793888,10.5842564529558,340.232031157055,20.2155194215844,72.5594422108404,5.26632275197012,0.118869350941508,0.0121419686895226,0.246621044526119,0.0082151770347819,0.787226777026415,0.00744346789216933,0.517153873012533,0.0292844754771211,7.82782607769301,0.426456873213205,0.146698389761863,0.00799207033757881,0.992428620754615,0.00295457695809356,0.940953076068694,0.0192626311110452,65.7599093662368,3.9426164887859,0.280000000000054,2.93399468175784e-14,0,0,0.0159999999999251,1.08388730452205e-14,1320,29.1661904723031,4891.7,266.497884085826,6211.7,285.506197636564
